"","Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CallDuration","CallHour","AgeBucket","BalanceBucket"
"38",38,33,"admin.","married","secondary","0",0,"1","0","cellular",30,"jul",5,-1,0,"unknown",41,"15","(25.7,33.4]","Negative"
"39",39,41,"blue-collar","divorced","primary","0",138,"1","0","cellular",18,"jul",3,-1,0,"unknown",640,"13","(33.4,41.1]","BelowAverage"
"40",40,35,"admin.","married","secondary","0",216,"1","1","cellular",17,"nov",3,-1,0,"unknown",70,"15","(33.4,41.1]","BelowAverage"
"41",41,32,"management","married","secondary","0",3935,"1","0","unknown",29,"may",2,-1,0,"unknown",129,"17","(25.7,33.4]","AboveAverage"
"42",42,40,"blue-collar","married","secondary","0",327,"1","0","unknown",29,"may",1,-1,0,"unknown",134,"11","(33.4,41.1]","BelowAverage"
"43",43,35,"management","single","tertiary","0",2707,"0","0","cellular",5,"feb",1,-1,0,"unknown",699,"9","(33.4,41.1]","AboveAverage"
"44",44,40,"admin.","married","secondary","0",2574,"1","0","cellular",15,"may",1,176,1,"failure",432,"10","(33.4,41.1]","AboveAverage"
"45",45,60,"management","married","tertiary","0",70,"0","0","cellular",21,"aug",1,-1,0,"unknown",36,"11","(56.5,64.2]","BelowAverage"
"46",46,35,"blue-collar","single","secondary","0",0,"1","0","unknown",3,"jun",3,-1,0,"unknown",113,"16","(33.4,41.1]","Negative"
"47",47,42,"management","divorced","secondary","0",283,"1","0","cellular",23,"jul",1,-1,0,"unknown",761,"12","(41.1,48.8]","BelowAverage"
"48",48,79,"retired","divorced","primary","0",79,"0","0","cellular",9,"oct",2,-1,0,"unknown",1106,"16","(71.9,79.6]","BelowAverage"
"49",49,46,"admin.","single","secondary","0",13,"0","0","unknown",2,"jun",4,-1,0,"unknown",71,"17","(41.1,48.8]","BelowAverage"
"50",50,33,"technician","divorced","secondary","0",464,"0","0","cellular",4,"feb",4,-1,0,"unknown",207,"9","(25.7,33.4]","BelowAverage"
"51",51,54,"services","divorced","unknown","0",0,"1","0","cellular",16,"apr",1,-1,0,"unknown",263,"16","(48.8,56.5]","Negative"
"52",52,46,"housemaid","married","primary","0",17,"0","0","unknown",17,"jun",1,-1,0,"unknown",72,"10","(41.1,48.8]","BelowAverage"
"53",53,47,"self-employed","married","secondary","0",4420,"1","1","cellular",20,"nov",1,-1,0,"unknown",454,"13","(41.1,48.8]","AboveAverage"
"54",54,78,"retired","married","unknown","0",3208,"0","0","telephone",20,"may",3,-1,0,"unknown",351,"16","(71.9,79.6]","AboveAverage"
"55",55,31,"blue-collar","married","secondary","0",326,"0","1","cellular",29,"jan",1,-1,0,"unknown",124,"9","(25.7,33.4]","BelowAverage"
"56",56,39,"services","married","secondary","0",52,"0","0","telephone",2,"feb",3,-1,0,"unknown",1420,"16","(33.4,41.1]","BelowAverage"
"57",57,31,"admin.","married","secondary","0",457,"1","0","cellular",21,"nov",1,171,5,"failure",283,"14","(25.7,33.4]","BelowAverage"
"58",58,46,"entrepreneur","divorced","secondary","0",1187,"0","1","cellular",13,"oct",1,327,1,"failure",92,"17","(41.1,48.8]","BelowAverage"
"59",59,34,"management","single","unknown","0",6013,"1","0","cellular",18,"may",1,-1,0,"unknown",612,"13","(33.4,41.1]","AboveAverage"
"60",60,52,"unemployed","married","secondary","0",5091,"0","0","cellular",26,"may",1,-1,0,"unknown",309,"12","(48.8,56.5]","AboveAverage"
"61",61,36,"management","divorced","tertiary","0",0,"0","0","cellular",28,"aug",4,-1,0,"unknown",81,"15","(33.4,41.1]","Negative"
"62",62,39,"entrepreneur","married","secondary","0",11887,"0","0","cellular",18,"nov",2,-1,0,"unknown",1181,"16","(33.4,41.1]","AboveAverage"
"63",63,18,"student","single","primary","0",608,"0","0","cellular",12,"aug",1,-1,0,"unknown",267,"13","(17.9,25.7]","BelowAverage"
"64",64,60,"services","married","secondary","0",-46,"0","0","unknown",23,"may",2,-1,0,"unknown",132,"16","(56.5,64.2]","Negative"
"65",65,36,"services","single","secondary","0",0,"1","0","cellular",15,"may",4,-1,0,"unknown",1002,"9","(33.4,41.1]","Negative"
"66",66,57,"management","married","tertiary","0",473,"0","0","cellular",1,"jun",1,-1,0,"unknown",295,"14","(56.5,64.2]","BelowAverage"
"67",67,28,"blue-collar","single","secondary","0",1955,"0","0","cellular",29,"jan",1,-1,0,"unknown",25,"12","(25.7,33.4]","AboveAverage"
"68",68,30,"management","married","tertiary","0",860,"1","0","cellular",20,"apr",1,-1,0,"unknown",185,"10","(25.7,33.4]","BelowAverage"
"69",69,41,"blue-collar","married","secondary","0",2689,"1","0","cellular",15,"apr",1,-1,0,"unknown",135,"17","(33.4,41.1]","AboveAverage"
"70",70,58,"management","married","tertiary","0",3768,"1","0","unknown",18,"jun",1,-1,0,"unknown",316,"17","(56.5,64.2]","AboveAverage"
"71",71,23,"housemaid","married","tertiary","0",66,"1","0","cellular",7,"may",2,-1,0,"unknown",1391,"9","(17.9,25.7]","BelowAverage"
"72",72,29,"admin.","married","secondary","0",494,"1","0","unknown",26,"may",2,-1,0,"unknown",341,"14","(25.7,33.4]","BelowAverage"
"73",73,25,"technician","single","secondary","0",1298,"0","0","cellular",2,"sep",7,94,2,"other",206,"14","(17.9,25.7]","BelowAverage"
"74",74,39,"blue-collar","married","secondary","0",0,"1","0","unknown",29,"may",3,-1,0,"unknown",209,"13","(33.4,41.1]","Negative"
"75",75,45,"technician","divorced","tertiary","0",0,"0","0","cellular",27,"aug",4,-1,0,"unknown",58,"17","(41.1,48.8]","Negative"
"76",76,55,"technician","divorced","secondary","0",3450,"0","0","cellular",10,"feb",1,183,1,"failure",169,"13","(48.8,56.5]","AboveAverage"
"77",77,32,"technician","married","tertiary","0",903,"1","0","cellular",23,"jun",1,320,1,"other",181,"11","(25.7,33.4]","BelowAverage"
"78",78,36,"management","married","tertiary","0",722,"1","0","unknown",30,"may",1,-1,0,"unknown",312,"13","(33.4,41.1]","BelowAverage"
"79",79,34,"management","single","tertiary","0",11350,"1","0","cellular",15,"may",1,176,1,"failure",153,"15","(33.4,41.1]","AboveAverage"
"80",80,39,"technician","single","secondary","0",556,"1","0","unknown",29,"may",1,-1,0,"unknown",322,"15","(33.4,41.1]","BelowAverage"
"81",81,49,"admin.","single","secondary","0",716,"1","0","unknown",15,"may",3,-1,0,"unknown",1257,"11","(48.8,56.5]","BelowAverage"
"82",82,37,"technician","married","tertiary","0",143,"0","0","cellular",27,"aug",6,-1,0,"unknown",57,"9","(33.4,41.1]","BelowAverage"
"83",83,47,"blue-collar","married","secondary","0",802,"1","1","cellular",12,"may",2,-1,0,"unknown",289,"14","(41.1,48.8]","BelowAverage"
"84",84,49,"retired","single","primary","0",25824,"0","0","unknown",17,"jun",1,-1,0,"unknown",94,"10","(48.8,56.5]","AboveAverage"
"85",85,49,"unemployed","married","primary","0",518,"0","0","cellular",29,"jan",2,-1,0,"unknown",1917,"9","(48.8,56.5]","BelowAverage"
"86",86,34,"admin.","divorced","secondary","0",0,"0","0","cellular",10,"jul",1,-1,0,"unknown",268,"17","(33.4,41.1]","Negative"
"87",87,40,"blue-collar","married","secondary","1",-94,"1","1","unknown",7,"may",1,-1,0,"unknown",227,"11","(33.4,41.1]","Negative"
"88",88,33,"services","married","secondary","0",210,"1","0","cellular",13,"may",2,-1,0,"unknown",1207,"11","(25.7,33.4]","BelowAverage"
"89",89,40,"admin.","single","secondary","0",60,"1","0","cellular",15,"may",3,352,6,"other",460,"16","(33.4,41.1]","BelowAverage"
"90",90,41,"entrepreneur","single","secondary","0",663,"0","0","cellular",24,"jul",1,-1,0,"unknown",1204,"10","(33.4,41.1]","BelowAverage"
"91",91,56,"management","married","tertiary","0",830,"1","1","unknown",6,"may",1,-1,0,"unknown",1201,"17","(48.8,56.5]","BelowAverage"
"92",92,33,"blue-collar","single","secondary","0",-147,"1","0","unknown",30,"may",2,-1,0,"unknown",652,"16","(25.7,33.4]","Negative"
"93",93,43,"blue-collar","divorced","primary","0",6,"1","0","unknown",27,"may",4,-1,0,"unknown",112,"12","(41.1,48.8]","BelowAverage"
"94",94,46,"services","divorced","secondary","0",1263,"1","0","telephone",21,"nov",2,-1,0,"unknown",220,"14","(41.1,48.8]","BelowAverage"
"95",95,39,"blue-collar","married","secondary","0",293,"1","0","unknown",23,"may",3,-1,0,"unknown",160,"14","(33.4,41.1]","BelowAverage"
"96",96,44,"management","married","tertiary","0",446,"0","0","cellular",25,"jul",12,-1,0,"unknown",63,"9","(41.1,48.8]","BelowAverage"
"97",97,48,"management","divorced","tertiary","0",657,"0","1","cellular",29,"jan",2,-1,0,"unknown",251,"16","(41.1,48.8]","BelowAverage"
"98",98,39,"blue-collar","single","tertiary","0",48,"0","0","cellular",3,"jun",1,-1,0,"unknown",539,"14","(33.4,41.1]","BelowAverage"
"99",99,46,"blue-collar","married","primary","0",3969,"0","0","telephone",7,"jul",5,-1,0,"unknown",46,"12","(41.1,48.8]","AboveAverage"
"100",100,19,"student","single","primary","0",103,"0","0","cellular",18,"jan",2,95,4,"failure",177,"12","(17.9,25.7]","BelowAverage"
"101",101,36,"management","married","tertiary","0",753,"0","0","cellular",16,"apr",4,-1,0,"unknown",76,"14","(33.4,41.1]","BelowAverage"
"102",102,43,"technician","married","secondary","0",3285,"1","0","unknown",13,"may",2,-1,0,"unknown",1721,"11","(41.1,48.8]","AboveAverage"
"103",103,46,"technician","married","secondary","0",9299,"0","0","cellular",19,"jul",1,276,2,"other",1148,"15","(41.1,48.8]","AboveAverage"
"104",104,56,"retired","married","primary","0",9367,"0","0","cellular",4,"may",2,-1,0,"unknown",617,"15","(48.8,56.5]","AboveAverage"
"105",105,57,"management","married","secondary","0",7162,"0","0","cellular",17,"nov",1,-1,0,"unknown",83,"9","(56.5,64.2]","AboveAverage"
"106",106,33,"technician","married","tertiary","0",1699,"0","0","cellular",4,"aug",1,-1,0,"unknown",600,"17","(25.7,33.4]","AboveAverage"
"107",107,41,"admin.","married","secondary","0",437,"1","0","cellular",2,"feb",1,-1,0,"unknown",138,"15","(33.4,41.1]","BelowAverage"
"108",108,31,"management","married","tertiary","0",69,"0","0","cellular",20,"aug",2,-1,0,"unknown",195,"10","(25.7,33.4]","BelowAverage"
"109",109,52,"management","married","tertiary","0",388,"0","0","cellular",25,"may",1,-1,0,"unknown",272,"10","(48.8,56.5]","BelowAverage"
"110",110,48,"blue-collar","single","secondary","0",339,"0","1","telephone",14,"jul",4,-1,0,"unknown",123,"9","(41.1,48.8]","BelowAverage"
"111",111,55,"blue-collar","married","secondary","0",49,"1","0","cellular",7,"jul",4,-1,0,"unknown",494,"13","(48.8,56.5]","BelowAverage"
"112",112,50,"technician","married","secondary","0",3370,"0","0","cellular",2,"jun",2,-1,0,"unknown",160,"9","(48.8,56.5]","AboveAverage"
"113",113,33,"blue-collar","single","secondary","0",-366,"1","0","unknown",28,"may",4,-1,0,"unknown",81,"12","(25.7,33.4]","Negative"
"114",114,31,"management","married","tertiary","0",2667,"1","0","cellular",2,"mar",2,-1,0,"unknown",73,"15","(25.7,33.4]","AboveAverage"
"115",115,33,"admin.","married","tertiary","0",899,"1","0","unknown",26,"may",3,-1,0,"unknown",159,"13","(25.7,33.4]","BelowAverage"
"116",116,31,"management","married","tertiary","0",1331,"0","0","cellular",30,"apr",1,86,3,"success",297,"10","(25.7,33.4]","BelowAverage"
"117",117,37,"services","married","secondary","0",4151,"1","1","cellular",30,"jul",4,-1,0,"unknown",543,"16","(33.4,41.1]","AboveAverage"
"118",118,62,"retired","married","secondary","0",569,"0","0","cellular",4,"feb",5,184,1,"success",94,"17","(56.5,64.2]","BelowAverage"
"119",119,33,"management","married","tertiary","0",1514,"0","0","cellular",10,"aug",1,728,2,"failure",447,"14","(25.7,33.4]","AboveAverage"
"120",120,40,"management","married","tertiary","1",0,"0","0","cellular",28,"jul",5,-1,0,"unknown",165,"13","(33.4,41.1]","Negative"
"121",121,37,"technician","single","tertiary","0",6101,"0","0","cellular",6,"feb",1,-1,0,"unknown",141,"11","(33.4,41.1]","AboveAverage"
"122",122,46,"management","divorced","tertiary","0",461,"0","0","cellular",30,"dec",2,-1,0,"unknown",369,"10","(41.1,48.8]","BelowAverage"
"123",123,64,"entrepreneur","married","tertiary","0",2331,"0","0","telephone",9,"nov",1,-1,0,"unknown",201,"13","(56.5,64.2]","AboveAverage"
"124",124,43,"unemployed","married","primary","0",519,"0","0","unknown",20,"jun",2,-1,0,"unknown",973,"14","(41.1,48.8]","BelowAverage"
"125",125,57,"blue-collar","married","primary","0",3109,"0","0","cellular",15,"sep",2,105,2,"success",107,"16","(56.5,64.2]","AboveAverage"
"126",126,58,"retired","divorced","primary","0",11,"0","1","cellular",10,"jul",5,-1,0,"unknown",161,"9","(56.5,64.2]","BelowAverage"
"127",127,32,"technician","divorced","tertiary","0",53,"0","0","cellular",22,"aug",2,-1,0,"unknown",671,"15","(25.7,33.4]","BelowAverage"
"128",128,43,"blue-collar","married","secondary","0",699,"1","1","cellular",20,"nov",2,122,2,"other",1258,"12","(41.1,48.8]","BelowAverage"
"129",129,30,"student","single","tertiary","0",3300,"0","0","cellular",21,"nov",1,-1,0,"unknown",1571,"9","(25.7,33.4]","AboveAverage"
"130",130,45,"admin.","married","secondary","0",251,"1","0","cellular",19,"aug",2,-1,0,"unknown",102,"12","(41.1,48.8]","BelowAverage"
"131",131,56,"management","married","tertiary","0",318,"0","1","telephone",9,"jul",3,-1,0,"unknown",246,"9","(48.8,56.5]","BelowAverage"
"132",132,44,"management","married","unknown","0",2724,"0","0","cellular",28,"dec",1,-1,0,"unknown",893,"14","(41.1,48.8]","AboveAverage"
"133",133,61,"management","married","tertiary","0",5157,"0","0","cellular",13,"mar",1,-1,0,"unknown",432,"14","(56.5,64.2]","AboveAverage"
"134",134,37,"technician","divorced","tertiary","0",1762,"1","0","cellular",16,"apr",1,317,1,"failure",309,"15","(33.4,41.1]","AboveAverage"
"135",135,56,"retired","married","secondary","0",343,"0","1","cellular",9,"jul",1,-1,0,"unknown",77,"12","(48.8,56.5]","BelowAverage"
"136",136,46,"admin.","married","secondary","0",368,"0","0","cellular",20,"aug",1,90,4,"other",293,"13","(41.1,48.8]","BelowAverage"
"137",137,39,"management","divorced","tertiary","0",1968,"0","0","cellular",21,"nov",1,-1,0,"unknown",648,"14","(33.4,41.1]","AboveAverage"
"138",138,27,"services","single","secondary","0",302,"0","0","cellular",3,"jul",1,-1,0,"unknown",203,"11","(25.7,33.4]","BelowAverage"
"139",139,33,"blue-collar","single","primary","0",60,"1","0","cellular",14,"may",1,290,2,"failure",74,"14","(25.7,33.4]","BelowAverage"
"140",140,52,"technician","married","tertiary","0",0,"0","0","cellular",9,"aug",3,94,4,"success",145,"16","(48.8,56.5]","Negative"
"141",141,45,"blue-collar","married","secondary","0",3092,"1","1","cellular",12,"may",2,-1,0,"unknown",180,"11","(41.1,48.8]","AboveAverage"
"142",142,30,"unemployed","single","secondary","0",1058,"0","0","cellular",4,"feb",1,-1,0,"unknown",515,"10","(25.7,33.4]","BelowAverage"
"143",143,46,"services","married","secondary","0",53,"0","1","cellular",28,"jul",3,-1,0,"unknown",31,"14","(41.1,48.8]","BelowAverage"
"144",144,32,"services","single","secondary","0",-402,"1","0","cellular",17,"apr",1,-1,0,"unknown",135,"14","(25.7,33.4]","Negative"
"145",145,62,"entrepreneur","married","secondary","0",3904,"0","0","telephone",29,"jan",2,-1,0,"unknown",403,"15","(56.5,64.2]","AboveAverage"
"146",146,24,"student","single","secondary","0",1123,"0","0","cellular",13,"jul",1,412,1,"other",475,"11","(17.9,25.7]","BelowAverage"
"147",147,47,"management","single","tertiary","0",159,"0","0","telephone",29,"oct",3,155,3,"other",220,"16","(41.1,48.8]","BelowAverage"
"148",148,32,"blue-collar","single","secondary","0",5,"1","1","unknown",8,"may",1,-1,0,"unknown",134,"13","(25.7,33.4]","BelowAverage"
"149",149,38,"blue-collar","married","primary","0",3289,"0","0","unknown",9,"jun",2,-1,0,"unknown",553,"13","(33.4,41.1]","AboveAverage"
"150",150,36,"technician","single","tertiary","0",391,"1","0","cellular",15,"may",1,350,8,"failure",185,"10","(33.4,41.1]","BelowAverage"
"151",151,57,"management","divorced","unknown","0",854,"0","0","cellular",27,"aug",4,92,1,"failure",700,"10","(56.5,64.2]","BelowAverage"
"152",152,73,"retired","divorced","secondary","0",7111,"1","0","cellular",12,"oct",1,-1,0,"unknown",146,"10","(71.9,79.6]","AboveAverage"
"153",153,55,"technician","divorced","tertiary","0",0,"1","0","unknown",30,"may",1,-1,0,"unknown",234,"12","(48.8,56.5]","Negative"
"154",154,57,"blue-collar","married","primary","0",3109,"0","0","cellular",2,"jun",2,-1,0,"unknown",482,"15","(56.5,64.2]","AboveAverage"
"155",155,25,"unemployed","single","primary","0",129,"0","0","cellular",12,"apr",3,-1,0,"unknown",176,"9","(17.9,25.7]","BelowAverage"
"156",156,62,"retired","married","secondary","0",569,"0","0","cellular",4,"aug",1,1,8,"success",288,"17","(56.5,64.2]","BelowAverage"
"157",157,45,"technician","married","secondary","0",4466,"1","0","unknown",3,"jun",1,-1,0,"unknown",110,"13","(41.1,48.8]","AboveAverage"
"158",158,56,"blue-collar","married","secondary","0",1521,"1","1","cellular",21,"nov",2,179,3,"other",19,"17","(48.8,56.5]","AboveAverage"
"159",159,33,"management","single","tertiary","0",8038,"1","0","cellular",19,"nov",1,-1,0,"unknown",60,"9","(25.7,33.4]","AboveAverage"
"160",160,45,"blue-collar","single","primary","0",116,"0","0","unknown",13,"apr",1,-1,0,"unknown",122,"13","(41.1,48.8]","BelowAverage"
"161",161,63,"blue-collar","married","secondary","0",641,"0","0","cellular",27,"may",2,-1,0,"unknown",417,"17","(56.5,64.2]","BelowAverage"
"162",162,57,"retired","married","secondary","0",2020,"0","0","unknown",19,"jun",4,-1,0,"unknown",93,"16","(56.5,64.2]","AboveAverage"
"163",163,60,"retired","married","secondary","0",208,"0","0","cellular",20,"aug",4,-1,0,"unknown",70,"9","(56.5,64.2]","BelowAverage"
"164",164,61,"self-employed","divorced","tertiary","0",52587,"0","0","cellular",15,"feb",3,189,1,"success",394,"16","(56.5,64.2]","AboveAverage"
"165",165,56,"blue-collar","married","secondary","0",2561,"0","0","unknown",20,"jun",6,-1,0,"unknown",13,"13","(48.8,56.5]","AboveAverage"
"166",166,26,"blue-collar","single","secondary","0",82,"1","0","unknown",9,"may",1,-1,0,"unknown",654,"10","(25.7,33.4]","BelowAverage"
"167",167,58,"unemployed","divorced","secondary","0",729,"0","1","cellular",9,"feb",2,-1,0,"unknown",60,"17","(56.5,64.2]","BelowAverage"
"168",168,46,"services","married","secondary","0",273,"0","0","cellular",22,"aug",2,-1,0,"unknown",565,"10","(41.1,48.8]","BelowAverage"
"169",169,28,"management","single","secondary","0",2840,"0","0","cellular",20,"apr",5,-1,0,"unknown",227,"10","(25.7,33.4]","AboveAverage"
"170",170,57,"technician","married","secondary","0",253,"0","1","unknown",3,"jul",3,-1,0,"unknown",230,"16","(56.5,64.2]","BelowAverage"
"171",171,36,"technician","single","secondary","0",2921,"0","0","telephone",31,"jul",7,-1,0,"unknown",55,"10","(33.4,41.1]","AboveAverage"
"172",172,44,"blue-collar","married","secondary","0",16178,"1","0","cellular",21,"nov",1,-1,0,"unknown",297,"13","(41.1,48.8]","AboveAverage"
"173",173,54,"services","divorced","secondary","0",0,"0","0","cellular",18,"mar",1,290,3,"success",362,"9","(48.8,56.5]","Negative"
"174",174,38,"technician","married","secondary","0",557,"1","0","cellular",16,"nov",4,-1,0,"unknown",1556,"11","(33.4,41.1]","BelowAverage"
"175",175,34,"management","single","tertiary","0",4348,"1","0","cellular",28,"aug",8,-1,0,"unknown",373,"9","(33.4,41.1]","AboveAverage"
"176",176,27,"services","single","secondary","0",683,"1","0","unknown",9,"may",3,-1,0,"unknown",44,"11","(25.7,33.4]","BelowAverage"
"177",177,29,"self-employed","single","tertiary","0",1579,"0","0","cellular",13,"oct",1,92,5,"success",190,"10","(25.7,33.4]","AboveAverage"
"178",178,31,"blue-collar","married","tertiary","0",2827,"1","0","unknown",8,"may",3,-1,0,"unknown",238,"9","(25.7,33.4]","AboveAverage"
"179",179,50,"technician","divorced","secondary","0",0,"0","0","cellular",29,"sep",1,120,2,"failure",159,"9","(48.8,56.5]","Negative"
"180",180,60,"retired","married","tertiary","0",108,"0","0","cellular",26,"aug",1,-1,0,"unknown",624,"11","(56.5,64.2]","BelowAverage"
"181",181,32,"services","married","secondary","0",243,"1","1","unknown",6,"may",1,-1,0,"unknown",144,"14","(25.7,33.4]","BelowAverage"
"182",182,36,"services","married","secondary","0",-27,"1","1","cellular",7,"jul",4,-1,0,"unknown",151,"12","(33.4,41.1]","Negative"
"183",183,45,"admin.","married","secondary","0",205,"0","0","cellular",4,"may",1,90,2,"success",552,"17","(41.1,48.8]","BelowAverage"
"184",184,40,"technician","divorced","tertiary","0",0,"0","0","unknown",17,"jun",1,-1,0,"unknown",522,"11","(33.4,41.1]","Negative"
"185",185,38,"technician","married","secondary","0",497,"0","0","unknown",14,"apr",1,-1,0,"unknown",173,"10","(33.4,41.1]","BelowAverage"
"186",186,30,"management","single","tertiary","0",985,"1","0","cellular",25,"oct",1,94,2,"success",304,"12","(25.7,33.4]","BelowAverage"
"187",187,31,"management","married","tertiary","0",3739,"0","0","cellular",11,"aug",3,-1,0,"unknown",117,"10","(25.7,33.4]","AboveAverage"
"188",188,28,"management","single","tertiary","0",6784,"0","0","cellular",1,"oct",1,115,3,"other",502,"14","(25.7,33.4]","AboveAverage"
"189",189,49,"blue-collar","divorced","primary","0",-9,"1","1","unknown",5,"may",1,-1,0,"unknown",389,"16","(48.8,56.5]","Negative"
"190",190,34,"self-employed","married","tertiary","0",0,"0","0","cellular",28,"aug",11,-1,0,"unknown",730,"11","(33.4,41.1]","Negative"
"191",191,51,"blue-collar","divorced","secondary","0",113,"0","0","cellular",15,"may",3,-1,0,"unknown",71,"9","(48.8,56.5]","BelowAverage"
"192",192,35,"unemployed","divorced","primary","0",118,"0","0","unknown",20,"jun",4,-1,0,"unknown",12,"16","(33.4,41.1]","BelowAverage"
"193",193,41,"student","single","secondary","0",595,"1","0","unknown",18,"sep",1,107,2,"success",22,"14","(33.4,41.1]","BelowAverage"
"194",194,49,"housemaid","married","primary","0",0,"0","0","telephone",9,"jul",1,-1,0,"unknown",106,"10","(48.8,56.5]","Negative"
