"Id_duplicate","Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CarInsurance","CallDuration","CallHour","AgeBinEW","AgeBinEF","BalanceBin","BalanceBinEF","WithinMonth","WithinMonthEF","PrevAttempsToDaysPassed","PAtDPEF"
"15",15,25,"services","single","unknown","0",2022,"0","0","cellular",29,"jul",8,97,12,"other","1",276,"14","(17.9,25.7]","[18,32)","AboveAverage","[ 1075, 2557)","LateMonth","[27,31]",0.123711340206186,"[0.00482,8.00000]"
"16",16,61,"management","single","tertiary","0",2,"0","0","cellular",12,"aug",1,114,3,"failure","1",131,"16","(56.5,64.2]","[52,95]","BelowAverage","[-3058,   14)","MidMonth","[12,17)",0.0263157894736842,"[0.00482,8.00000]"
"17",17,34,"admin.","single","secondary","0",69,"1","0","telephone",6,"may",3,362,4,"other","0",92,"11","(33.4,41.1]","[32,37)","BelowAverage","[   14,  229)","EarlyMonth","[ 1, 7)",0.0110497237569061,"[0.00482,8.00000]"
"18",18,46,"management","married","tertiary","0",7331,"0","0","cellular",11,"sep",4,95,2,"other","1",658,"11","(41.1,48.8]","[44,52)","AboveAverage","[ 2557,52587]","MidMonth","[ 7,12)",0.0210526315789474,"[0.00482,8.00000]"
"19",19,49,"blue-collar","married","secondary","0",2039,"1","0","cellular",6,"may",1,169,2,"failure","1",451,"12","(48.8,56.5]","[44,52)","AboveAverage","[ 1075, 2557)","EarlyMonth","[ 1, 7)",0.0118343195266272,"[0.00482,8.00000]"
"20",20,50,"blue-collar","married","primary","0",82,"0","0","telephone",5,"apr",1,-1,0,"unknown","1",456,"10","(48.8,56.5]","[44,52)","BelowAverage","[   14,  229)","EarlyMonth","[ 1, 7)",0,"0.00000"
"21",21,57,"blue-collar","married","secondary","0",773,"1","1","unknown",18,"jun",8,-1,0,"unknown","0",97,"9","(56.5,64.2]","[52,95]","BelowAverage","[  549, 1075)","MidMonth","[17,21)",0,"0.00000"
"22",22,80,"retired","married","secondary","0",8304,"0","0","telephone",8,"sep",3,91,13,"success","1",606,"17","(79.6,87.3]","[52,95]","AboveAverage","[ 2557,52587]","EarlyMonth","[ 7,12)",0.142857142857143,"[0.00482,8.00000]"
"23",23,31,"management","single","tertiary","0",0,"0","0","cellular",21,"aug",2,-1,0,"unknown","0",218,"14","(25.7,33.4]","[18,32)","Negative","[-3058,   14)","LateMonth","[21,27)",0,"0.00000"
"24",24,63,"retired","married","secondary","0",2896,"0","0","cellular",1,"jul",1,119,2,"success","1",304,"15","(56.5,64.2]","[52,95]","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0.0168067226890756,"[0.00482,8.00000]"
"25",25,60,"technician","married","secondary","0",824,"1","0","cellular",9,"feb",1,558,7,"other","1",127,"16","(56.5,64.2]","[52,95]","BelowAverage","[  549, 1075)","EarlyMonth","[ 7,12)",0.0125448028673835,"[0.00482,8.00000]"
"26",26,29,"management","married","tertiary","0",900,"0","0","cellular",17,"jul",2,-1,0,"unknown","0",275,"17","(25.7,33.4]","[18,32)","BelowAverage","[  549, 1075)","MidMonth","[17,21)",0,"0.00000"
"27",27,54,"management","married","primary","0",3859,"0","1","cellular",20,"nov",3,-1,0,"unknown","0",104,"10","(48.8,56.5]","[52,95]","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"29",29,34,"services","married","secondary","0",-62,"1","0","unknown",16,"jun",3,-1,0,"unknown","0",109,"13","(33.4,41.1]","[32,37)","Negative","[-3058,   14)","MidMonth","[12,17)",0,"0.00000"
"30",30,42,"blue-collar","married","primary","0",832,"0","0","unknown",20,"jun",14,-1,0,"unknown","0",13,"10","(41.1,48.8]","[37,44)","BelowAverage","[  549, 1075)","MidMonth","[17,21)",0,"0.00000"
"31",31,54,"technician","married","secondary","0",0,"0","0","telephone",30,"apr",3,84,3,"success","1",766,"11","(48.8,56.5]","[52,95]","Negative","[-3058,   14)","LateMonth","[27,31]",0.0357142857142857,"[0.00482,8.00000]"
"32",32,32,"admin.","single","secondary","0",6981,"1","0","cellular",2,"jun",1,194,3,"failure","0",154,"10","(25.7,33.4]","[32,37)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0.0154639175257732,"[0.00482,8.00000]"
"33",33,57,"retired","single","tertiary","0",842,"0","0","cellular",13,"aug",3,-1,0,"unknown","1",284,"10","(56.5,64.2]","[52,95]","BelowAverage","[  549, 1075)","MidMonth","[12,17)",0,"0.00000"
"34",34,36,"management","divorced","tertiary","0",1057,"0","0","cellular",5,"feb",2,-1,0,"unknown","0",383,"15","(33.4,41.1]","[32,37)","BelowAverage","[  549, 1075)","EarlyMonth","[ 1, 7)",0,"0.00000"
"35",35,34,"blue-collar","single","secondary","0",1698,"1","0","unknown",27,"may",7,-1,0,"unknown","0",39,"13","(33.4,41.1]","[32,37)","AboveAverage","[ 1075, 2557)","LateMonth","[27,31]",0,"0.00000"
"36",36,39,"blue-collar","married","secondary","0",300,"1","0","cellular",14,"may",1,-1,0,"unknown","0",506,"14","(33.4,41.1]","[37,44)","BelowAverage","[  229,  549)","MidMonth","[12,17)",0,"0.00000"
"37",37,31,"blue-collar","married","secondary","0",664,"1","1","unknown",21,"may",3,-1,0,"unknown","0",987,"11","(25.7,33.4]","[18,32)","BelowAverage","[  549, 1075)","LateMonth","[21,27)",0,"0.00000"
"38",38,33,"admin.","married","secondary","0",0,"1","0","cellular",30,"jul",5,-1,0,"unknown","0",41,"15","(25.7,33.4]","[32,37)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"39",39,41,"blue-collar","divorced","primary","0",138,"1","0","cellular",18,"jul",3,-1,0,"unknown","1",640,"13","(33.4,41.1]","[37,44)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0,"0.00000"
"40",40,35,"admin.","married","secondary","0",216,"1","1","cellular",17,"nov",3,-1,0,"unknown","0",70,"15","(33.4,41.1]","[32,37)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0,"0.00000"
"41",41,32,"management","married","secondary","0",3935,"1","0","unknown",29,"may",2,-1,0,"unknown","0",129,"17","(25.7,33.4]","[32,37)","AboveAverage","[ 2557,52587]","LateMonth","[27,31]",0,"0.00000"
"42",42,40,"blue-collar","married","secondary","0",327,"1","0","unknown",29,"may",1,-1,0,"unknown","0",134,"11","(33.4,41.1]","[37,44)","BelowAverage","[  229,  549)","LateMonth","[27,31]",0,"0.00000"
"43",43,35,"management","single","tertiary","0",2707,"0","0","cellular",5,"feb",1,-1,0,"unknown","1",699,"9","(33.4,41.1]","[32,37)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
"44",44,40,"admin.","married","secondary","0",2574,"1","0","cellular",15,"may",1,176,1,"failure","1",432,"10","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","MidMonth","[12,17)",0.00568181818181818,"[0.00482,8.00000]"
"45",45,60,"management","married","tertiary","0",70,"0","0","cellular",21,"aug",1,-1,0,"unknown","0",36,"11","(56.5,64.2]","[52,95]","BelowAverage","[   14,  229)","LateMonth","[21,27)",0,"0.00000"
"46",46,35,"blue-collar","single","secondary","0",0,"1","0","unknown",3,"jun",3,-1,0,"unknown","0",113,"16","(33.4,41.1]","[32,37)","Negative","[-3058,   14)","EarlyMonth","[ 1, 7)",0,"0.00000"
"47",47,42,"management","divorced","secondary","0",283,"1","0","cellular",23,"jul",1,-1,0,"unknown","1",761,"12","(41.1,48.8]","[37,44)","BelowAverage","[  229,  549)","LateMonth","[21,27)",0,"0.00000"
"48",48,79,"retired","divorced","primary","0",79,"0","0","cellular",9,"oct",2,-1,0,"unknown","1",1106,"16","(71.9,79.6]","[52,95]","BelowAverage","[   14,  229)","EarlyMonth","[ 7,12)",0,"0.00000"
"49",49,46,"admin.","single","secondary","0",13,"0","0","unknown",2,"jun",4,-1,0,"unknown","0",71,"17","(41.1,48.8]","[44,52)","BelowAverage","[-3058,   14)","EarlyMonth","[ 1, 7)",0,"0.00000"
"50",50,33,"technician","divorced","secondary","0",464,"0","0","cellular",4,"feb",4,-1,0,"unknown","0",207,"9","(25.7,33.4]","[32,37)","BelowAverage","[  229,  549)","EarlyMonth","[ 1, 7)",0,"0.00000"
"51",51,54,"services","divorced","unknown","0",0,"1","0","cellular",16,"apr",1,-1,0,"unknown","0",263,"16","(48.8,56.5]","[52,95]","Negative","[-3058,   14)","MidMonth","[12,17)",0,"0.00000"
"52",52,46,"housemaid","married","primary","0",17,"0","0","unknown",17,"jun",1,-1,0,"unknown","0",72,"10","(41.1,48.8]","[44,52)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0,"0.00000"
"53",53,47,"self-employed","married","secondary","0",4420,"1","1","cellular",20,"nov",1,-1,0,"unknown","1",454,"13","(41.1,48.8]","[44,52)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"54",54,78,"retired","married","unknown","0",3208,"0","0","telephone",20,"may",3,-1,0,"unknown","1",351,"16","(71.9,79.6]","[52,95]","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"55",55,31,"blue-collar","married","secondary","0",326,"0","1","cellular",29,"jan",1,-1,0,"unknown","0",124,"9","(25.7,33.4]","[18,32)","BelowAverage","[  229,  549)","LateMonth","[27,31]",0,"0.00000"
"56",56,39,"services","married","secondary","0",52,"0","0","telephone",2,"feb",3,-1,0,"unknown","1",1420,"16","(33.4,41.1]","[37,44)","BelowAverage","[   14,  229)","EarlyMonth","[ 1, 7)",0,"0.00000"
"57",57,31,"admin.","married","secondary","0",457,"1","0","cellular",21,"nov",1,171,5,"failure","0",283,"14","(25.7,33.4]","[18,32)","BelowAverage","[  229,  549)","LateMonth","[21,27)",0.0292397660818713,"[0.00482,8.00000]"
"58",58,46,"entrepreneur","divorced","secondary","0",1187,"0","1","cellular",13,"oct",1,327,1,"failure","0",92,"17","(41.1,48.8]","[44,52)","BelowAverage","[ 1075, 2557)","MidMonth","[12,17)",0.00305810397553517,"[0.00119,0.00482)"
"59",59,34,"management","single","unknown","0",6013,"1","0","cellular",18,"may",1,-1,0,"unknown","1",612,"13","(33.4,41.1]","[32,37)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"60",60,52,"unemployed","married","secondary","0",5091,"0","0","cellular",26,"may",1,-1,0,"unknown","0",309,"12","(48.8,56.5]","[52,95]","AboveAverage","[ 2557,52587]","LateMonth","[21,27)",0,"0.00000"
"61",61,36,"management","divorced","tertiary","0",0,"0","0","cellular",28,"aug",4,-1,0,"unknown","0",81,"15","(33.4,41.1]","[32,37)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"62",62,39,"entrepreneur","married","secondary","0",11887,"0","0","cellular",18,"nov",2,-1,0,"unknown","1",1181,"16","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"63",63,18,"student","single","primary","0",608,"0","0","cellular",12,"aug",1,-1,0,"unknown","1",267,"13","(17.9,25.7]","[18,32)","BelowAverage","[  549, 1075)","MidMonth","[12,17)",0,"0.00000"
"64",64,60,"services","married","secondary","0",-46,"0","0","unknown",23,"may",2,-1,0,"unknown","0",132,"16","(56.5,64.2]","[52,95]","Negative","[-3058,   14)","LateMonth","[21,27)",0,"0.00000"
"65",65,36,"services","single","secondary","0",0,"1","0","cellular",15,"may",4,-1,0,"unknown","1",1002,"9","(33.4,41.1]","[32,37)","Negative","[-3058,   14)","MidMonth","[12,17)",0,"0.00000"
"66",66,57,"management","married","tertiary","0",473,"0","0","cellular",1,"jun",1,-1,0,"unknown","1",295,"14","(56.5,64.2]","[52,95]","BelowAverage","[  229,  549)","EarlyMonth","[ 1, 7)",0,"0.00000"
"67",67,28,"blue-collar","single","secondary","0",1955,"0","0","cellular",29,"jan",1,-1,0,"unknown","0",25,"12","(25.7,33.4]","[18,32)","AboveAverage","[ 1075, 2557)","LateMonth","[27,31]",0,"0.00000"
"68",68,30,"management","married","tertiary","0",860,"1","0","cellular",20,"apr",1,-1,0,"unknown","0",185,"10","(25.7,33.4]","[18,32)","BelowAverage","[  549, 1075)","MidMonth","[17,21)",0,"0.00000"
"69",69,41,"blue-collar","married","secondary","0",2689,"1","0","cellular",15,"apr",1,-1,0,"unknown","1",135,"17","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","MidMonth","[12,17)",0,"0.00000"
"70",70,58,"management","married","tertiary","0",3768,"1","0","unknown",18,"jun",1,-1,0,"unknown","0",316,"17","(56.5,64.2]","[52,95]","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"71",71,23,"housemaid","married","tertiary","0",66,"1","0","cellular",7,"may",2,-1,0,"unknown","1",1391,"9","(17.9,25.7]","[18,32)","BelowAverage","[   14,  229)","EarlyMonth","[ 7,12)",0,"0.00000"
"72",72,29,"admin.","married","secondary","0",494,"1","0","unknown",26,"may",2,-1,0,"unknown","0",341,"14","(25.7,33.4]","[18,32)","BelowAverage","[  229,  549)","LateMonth","[21,27)",0,"0.00000"
"73",73,25,"technician","single","secondary","0",1298,"0","0","cellular",2,"sep",7,94,2,"other","0",206,"14","(17.9,25.7]","[18,32)","BelowAverage","[ 1075, 2557)","EarlyMonth","[ 1, 7)",0.0212765957446809,"[0.00482,8.00000]"
"74",74,39,"blue-collar","married","secondary","0",0,"1","0","unknown",29,"may",3,-1,0,"unknown","0",209,"13","(33.4,41.1]","[37,44)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"75",75,45,"technician","divorced","tertiary","0",0,"0","0","cellular",27,"aug",4,-1,0,"unknown","0",58,"17","(41.1,48.8]","[44,52)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"76",76,55,"technician","divorced","secondary","0",3450,"0","0","cellular",10,"feb",1,183,1,"failure","1",169,"13","(48.8,56.5]","[52,95]","AboveAverage","[ 2557,52587]","EarlyMonth","[ 7,12)",0.00546448087431694,"[0.00482,8.00000]"
"77",77,32,"technician","married","tertiary","0",903,"1","0","cellular",23,"jun",1,320,1,"other","0",181,"11","(25.7,33.4]","[32,37)","BelowAverage","[  549, 1075)","LateMonth","[21,27)",0.003125,"[0.00119,0.00482)"
"78",78,36,"management","married","tertiary","0",722,"1","0","unknown",30,"may",1,-1,0,"unknown","0",312,"13","(33.4,41.1]","[32,37)","BelowAverage","[  549, 1075)","LateMonth","[27,31]",0,"0.00000"
"79",79,34,"management","single","tertiary","0",11350,"1","0","cellular",15,"may",1,176,1,"failure","0",153,"15","(33.4,41.1]","[32,37)","AboveAverage","[ 2557,52587]","MidMonth","[12,17)",0.00568181818181818,"[0.00482,8.00000]"
"80",80,39,"technician","single","secondary","0",556,"1","0","unknown",29,"may",1,-1,0,"unknown","0",322,"15","(33.4,41.1]","[37,44)","BelowAverage","[  549, 1075)","LateMonth","[27,31]",0,"0.00000"
"81",81,49,"admin.","single","secondary","0",716,"1","0","unknown",15,"may",3,-1,0,"unknown","1",1257,"11","(48.8,56.5]","[44,52)","BelowAverage","[  549, 1075)","MidMonth","[12,17)",0,"0.00000"
"82",82,37,"technician","married","tertiary","0",143,"0","0","cellular",27,"aug",6,-1,0,"unknown","0",57,"9","(33.4,41.1]","[37,44)","BelowAverage","[   14,  229)","LateMonth","[27,31]",0,"0.00000"
"83",83,47,"blue-collar","married","secondary","0",802,"1","1","cellular",12,"may",2,-1,0,"unknown","1",289,"14","(41.1,48.8]","[44,52)","BelowAverage","[  549, 1075)","MidMonth","[12,17)",0,"0.00000"
"84",84,49,"retired","single","primary","0",25824,"0","0","unknown",17,"jun",1,-1,0,"unknown","0",94,"10","(48.8,56.5]","[44,52)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"85",85,49,"unemployed","married","primary","0",518,"0","0","cellular",29,"jan",2,-1,0,"unknown","1",1917,"9","(48.8,56.5]","[44,52)","BelowAverage","[  229,  549)","LateMonth","[27,31]",0,"0.00000"
"86",86,34,"admin.","divorced","secondary","0",0,"0","0","cellular",10,"jul",1,-1,0,"unknown","0",268,"17","(33.4,41.1]","[32,37)","Negative","[-3058,   14)","EarlyMonth","[ 7,12)",0,"0.00000"
"87",87,40,"blue-collar","married","secondary","1",-94,"1","1","unknown",7,"may",1,-1,0,"unknown","0",227,"11","(33.4,41.1]","[37,44)","Negative","[-3058,   14)","EarlyMonth","[ 7,12)",0,"0.00000"
"88",88,33,"services","married","secondary","0",210,"1","0","cellular",13,"may",2,-1,0,"unknown","1",1207,"11","(25.7,33.4]","[32,37)","BelowAverage","[   14,  229)","MidMonth","[12,17)",0,"0.00000"
"89",89,40,"admin.","single","secondary","0",60,"1","0","cellular",15,"may",3,352,6,"other","0",460,"16","(33.4,41.1]","[37,44)","BelowAverage","[   14,  229)","MidMonth","[12,17)",0.0170454545454545,"[0.00482,8.00000]"
"90",90,41,"entrepreneur","single","secondary","0",663,"0","0","cellular",24,"jul",1,-1,0,"unknown","1",1204,"10","(33.4,41.1]","[37,44)","BelowAverage","[  549, 1075)","LateMonth","[21,27)",0,"0.00000"
"91",91,56,"management","married","tertiary","0",830,"1","1","unknown",6,"may",1,-1,0,"unknown","1",1201,"17","(48.8,56.5]","[52,95]","BelowAverage","[  549, 1075)","EarlyMonth","[ 1, 7)",0,"0.00000"
"92",92,33,"blue-collar","single","secondary","0",-147,"1","0","unknown",30,"may",2,-1,0,"unknown","0",652,"16","(25.7,33.4]","[32,37)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"93",93,43,"blue-collar","divorced","primary","0",6,"1","0","unknown",27,"may",4,-1,0,"unknown","0",112,"12","(41.1,48.8]","[37,44)","BelowAverage","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"94",94,46,"services","divorced","secondary","0",1263,"1","0","telephone",21,"nov",2,-1,0,"unknown","0",220,"14","(41.1,48.8]","[44,52)","BelowAverage","[ 1075, 2557)","LateMonth","[21,27)",0,"0.00000"
"95",95,39,"blue-collar","married","secondary","0",293,"1","0","unknown",23,"may",3,-1,0,"unknown","0",160,"14","(33.4,41.1]","[37,44)","BelowAverage","[  229,  549)","LateMonth","[21,27)",0,"0.00000"
"96",96,44,"management","married","tertiary","0",446,"0","0","cellular",25,"jul",12,-1,0,"unknown","0",63,"9","(41.1,48.8]","[44,52)","BelowAverage","[  229,  549)","LateMonth","[21,27)",0,"0.00000"
"97",97,48,"management","divorced","tertiary","0",657,"0","1","cellular",29,"jan",2,-1,0,"unknown","0",251,"16","(41.1,48.8]","[44,52)","BelowAverage","[  549, 1075)","LateMonth","[27,31]",0,"0.00000"
"98",98,39,"blue-collar","single","tertiary","0",48,"0","0","cellular",3,"jun",1,-1,0,"unknown","1",539,"14","(33.4,41.1]","[37,44)","BelowAverage","[   14,  229)","EarlyMonth","[ 1, 7)",0,"0.00000"
"99",99,46,"blue-collar","married","primary","0",3969,"0","0","telephone",7,"jul",5,-1,0,"unknown","0",46,"12","(41.1,48.8]","[44,52)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 7,12)",0,"0.00000"
"100",100,19,"student","single","primary","0",103,"0","0","cellular",18,"jan",2,95,4,"failure","0",177,"12","(17.9,25.7]","[18,32)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0.0421052631578947,"[0.00482,8.00000]"
"101",101,36,"management","married","tertiary","0",753,"0","0","cellular",16,"apr",4,-1,0,"unknown","0",76,"14","(33.4,41.1]","[32,37)","BelowAverage","[  549, 1075)","MidMonth","[12,17)",0,"0.00000"
"102",102,43,"technician","married","secondary","0",3285,"1","0","unknown",13,"may",2,-1,0,"unknown","1",1721,"11","(41.1,48.8]","[37,44)","AboveAverage","[ 2557,52587]","MidMonth","[12,17)",0,"0.00000"
"103",103,46,"technician","married","secondary","0",9299,"0","0","cellular",19,"jul",1,276,2,"other","1",1148,"15","(41.1,48.8]","[44,52)","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0.0072463768115942,"[0.00482,8.00000]"
"104",104,56,"retired","married","primary","0",9367,"0","0","cellular",4,"may",2,-1,0,"unknown","1",617,"15","(48.8,56.5]","[52,95]","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
"105",105,57,"management","married","secondary","0",7162,"0","0","cellular",17,"nov",1,-1,0,"unknown","0",83,"9","(56.5,64.2]","[52,95]","AboveAverage","[ 2557,52587]","MidMonth","[17,21)",0,"0.00000"
"106",106,33,"technician","married","tertiary","0",1699,"0","0","cellular",4,"aug",1,-1,0,"unknown","1",600,"17","(25.7,33.4]","[32,37)","AboveAverage","[ 1075, 2557)","EarlyMonth","[ 1, 7)",0,"0.00000"
"107",107,41,"admin.","married","secondary","0",437,"1","0","cellular",2,"feb",1,-1,0,"unknown","0",138,"15","(33.4,41.1]","[37,44)","BelowAverage","[  229,  549)","EarlyMonth","[ 1, 7)",0,"0.00000"
"108",108,31,"management","married","tertiary","0",69,"0","0","cellular",20,"aug",2,-1,0,"unknown","0",195,"10","(25.7,33.4]","[18,32)","BelowAverage","[   14,  229)","MidMonth","[17,21)",0,"0.00000"
"109",109,52,"management","married","tertiary","0",388,"0","0","cellular",25,"may",1,-1,0,"unknown","1",272,"10","(48.8,56.5]","[52,95]","BelowAverage","[  229,  549)","LateMonth","[21,27)",0,"0.00000"
"110",110,48,"blue-collar","single","secondary","0",339,"0","1","telephone",14,"jul",4,-1,0,"unknown","0",123,"9","(41.1,48.8]","[44,52)","BelowAverage","[  229,  549)","MidMonth","[12,17)",0,"0.00000"
"111",111,55,"blue-collar","married","secondary","0",49,"1","0","cellular",7,"jul",4,-1,0,"unknown","1",494,"13","(48.8,56.5]","[52,95]","BelowAverage","[   14,  229)","EarlyMonth","[ 7,12)",0,"0.00000"
"112",112,50,"technician","married","secondary","0",3370,"0","0","cellular",2,"jun",2,-1,0,"unknown","1",160,"9","(48.8,56.5]","[44,52)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
"113",113,33,"blue-collar","single","secondary","0",-366,"1","0","unknown",28,"may",4,-1,0,"unknown","0",81,"12","(25.7,33.4]","[32,37)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"114",114,31,"management","married","tertiary","0",2667,"1","0","cellular",2,"mar",2,-1,0,"unknown","0",73,"15","(25.7,33.4]","[18,32)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
"115",115,33,"admin.","married","tertiary","0",899,"1","0","unknown",26,"may",3,-1,0,"unknown","0",159,"13","(25.7,33.4]","[32,37)","BelowAverage","[  549, 1075)","LateMonth","[21,27)",0,"0.00000"
"116",116,31,"management","married","tertiary","0",1331,"0","0","cellular",30,"apr",1,86,3,"success","1",297,"10","(25.7,33.4]","[18,32)","BelowAverage","[ 1075, 2557)","LateMonth","[27,31]",0.0348837209302326,"[0.00482,8.00000]"
"117",117,37,"services","married","secondary","0",4151,"1","1","cellular",30,"jul",4,-1,0,"unknown","1",543,"16","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","LateMonth","[27,31]",0,"0.00000"
"118",118,62,"retired","married","secondary","0",569,"0","0","cellular",4,"feb",5,184,1,"success","1",94,"17","(56.5,64.2]","[52,95]","BelowAverage","[  549, 1075)","EarlyMonth","[ 1, 7)",0.00543478260869565,"[0.00482,8.00000]"
"119",119,33,"management","married","tertiary","0",1514,"0","0","cellular",10,"aug",1,728,2,"failure","1",447,"14","(25.7,33.4]","[32,37)","AboveAverage","[ 1075, 2557)","EarlyMonth","[ 7,12)",0.00274725274725275,"[0.00119,0.00482)"
"120",120,40,"management","married","tertiary","1",0,"0","0","cellular",28,"jul",5,-1,0,"unknown","0",165,"13","(33.4,41.1]","[37,44)","Negative","[-3058,   14)","LateMonth","[27,31]",0,"0.00000"
"121",121,37,"technician","single","tertiary","0",6101,"0","0","cellular",6,"feb",1,-1,0,"unknown","1",141,"11","(33.4,41.1]","[37,44)","AboveAverage","[ 2557,52587]","EarlyMonth","[ 1, 7)",0,"0.00000"
